name1,name2,surname1,surname2,street,postal_code,city,country
आदित्य,संजय,सिंह,कुमार,एम.जी. रोड,719176,पुणे,India
Maria,Karl,Svensson,Höglund,Kyrkogatan,38 559,Lund,Sweden
João,Ana,Almeida,Ferreira,Avenida Atlântica,22676-467,Porto Alegre,Brazil
आदित्य,संजय,मेहता,खान,गांधी रोड,705397,हैदराबाद,India
伟,杰,刘,陈,南京路,766563,成都,China
Javier,Álvaro,Álvarez,Pérez,Avenida de la Constitución,30488,Zaragoza,Spain
Tú,Anh,Võ,Phạm,Đường Lê Lợi,944151,Nha Trang,Vietnam
Мария,Екатерина,Новиков,Попов,ул. Советская,134718,Новосибирск,Russia
Carolina,Carolina,Rodrigues,Ribeiro,Avenida Paulista,76784-605,Rio de Janeiro,Brazil
花子,翔,高橋,山本,駅前通り,666-1188,大阪,Japan
勇,鑫,陈,徐,建设路,624902,广州,China
Μαρία,Δημήτρης,Κωνσταντίνου,Ιωάννου,Λεωφόρος Νίκης,100 86,Βόλος,Greece
Μαρία,Αναστασία,Κωνσταντίνου,Κωνσταντίνου,Οδός Ερμού,849 72,Θεσσαλονίκη,Greece
Phương,Hương,Lê,Bùi,Đường Điện Biên Phủ,322086,Hải Phòng,Vietnam
磊,杰,徐,杨,文化路,122056,重庆,China
هبة,سارة,حسن,إبراهيم,شارع الهرم,38080,الجيزة,Egypt
艳,艳,黄,刘,长安街,471507,武汉,China
Павел,Алексей,Петров,Иванов,ул. Советская,170292,Омск,Russia
Camille,Antoine,Durand,Thomas,Rue de la Paix,07767,Bordeaux,France
서연,지우,박,조-조,세종대로,44760,수원,South Korea
José,José,Gomes,Carvalho,Rua São João,81066-162,Porto Alegre,Brazil
Fredrik,Linnea,Höglund,Höglund,Björkvägen,18 791,Uppsala,Sweden
Татьяна,Екатерина,Новиков,Новиков,проспект Мира,134179,Екатеринбург,Russia
强,敏,陈,赵,人民路,109767,西安,China
रोहन,नेहा,वर्मा,खान,नेहरू मार्ग,487477,चेन्नई,India
Zoé,Baptiste,Robert,Moreau,Rue des Écoles,39779,Lyon,France
Hương,Thảo,Trần,Trần,Đường Nguyễn Huệ,313487,Cần Thơ,Vietnam
Δημήτρης,Γιώργος,Παπαδόπουλος,Ιωάννου,Λεωφόρος Κηφισίας,859 66,Ιωάννινα,Greece
أحمد,أحمد,محمد,سليمان,شارع النيل,50404,طنطا,Egypt
สมชาย,ศิริ,ทองดี,วัฒนกุล,ถนนพหลโยธิน,91351,ภูเก็ต,Thailand
Tuấn,Hương,Lê,Phan,Đường Trần Hưng Đạo,379766,Đà Nẵng,Vietnam
花子,健,佐藤,中村,神田通り,992-4728,札幌,Japan
Karl,Oskar,Berg,Gustafsson,Kyrkogatan,96 963,Jönköping,Sweden
James,Mary,Jones,Williams,Pine Road,67199,San Jose,United States
Minh,Lan,Đặng,Phạm,Đường Trần Hưng Đạo,481913,Huế,Vietnam
Björn,Daniel,Berg,Nilsson,Kyrkogatan,99 402,Jönköping,Sweden
François,René,Petit,Lefèvre,Rue de la Paix,39393,Toulouse,France
Татьяна,Татьяна,Попов,Лебедев,ул. Гагарина,122241,Санкт-Петербург,Russia
Vitória,Vitória,Ribeiro,Ferreira,Avenida Paulista,29313-125,São Paulo,Brazil
Rafael,Thiago,Santos,Costa,Avenida Atlântica,62383-349,Belo Horizonte,Brazil
आदित्य,नेहा,पाटेल,कुमार,एम.जी. रोड,578634,बेंगलुरु,India
현우,수빈,장,임,남산로,65933,창원,South Korea
Иван,Павел,Лебедев,Лебедев,Невский проспект,163517,Екатеринбург,Russia
Maria,José,Rodrigues,Souza,Avenida Paulista,60205-810,Belo Horizonte,Brazil
芳,磊,赵,杨,和平路,998348,重庆,China
James,Robert,Jones,Miller,Sunset Boulevard,89069,Houston,United States
Δημήτρης,Σοφία,Γεωργίου,Παπαδόπουλος,Οδός Αθηνάς,230 89,Αθήνα,Greece
ปกรณ์,ปกรณ์,วัฒนกุล,ศรีสุข,ถนนสีลม,59689,อุดรธานี,Thailand
Javier,Javier,Fernández,Pérez,Calle Mayor,48652,Madrid,Spain
Đức,Tuấn,Bùi,Trần,Đường Trần Hưng Đạo,979995,Hà Nội,Vietnam
पूजा,राहुल,मेहता,वर्मा,नेहरू मार्ग,735324,लखनऊ,India
Anh,Minh,Lê,Ho'àng,Đường Điện Biên Phủ,515922,Hải Phòng,Vietnam
Åsa,Sara,Nilsson,Pettersson,Storgatan,54 645,Linköping,Sweden
芳,勇,徐,杨,文化路,766459,西安,China
磊,娜,孙,周,南京路,587455,武汉,China
지아,하준,강,최,세종대로,84691,성남,South Korea
强,伟,黄,杨,建设路,682789,北京,China
Νίκος,Μαρία,Οικονόμου,Ιωάννου,Οδός Αθηνάς,558 12,Θεσσαλονίκη,Greece
Beatriz,José,Souza,Rodrigues,Avenida Brasil,82140-438,Porto Alegre,Brazil
静,静,陈,刘,中山路,300845,深圳,China
優,葵,加藤,小林,駅前通り,283-5952,東京,Japan
娜,静,王,王,南京路,207570,北京,China
نور,نور,جمال,السيد,شارع النيل,62521,الإسماعيلية,Egypt
Åsa,Björn,Johansson,Larsson,Kungsgatan,81 882,Linköping,Sweden
रोहन,पूजा,खान,पाटेल,गांधी रोड,696251,लखनऊ,India
Johan,Karl,Persson,Gustafsson,Björkvägen,70 398,Stockholm,Sweden
Paula,Sofía,Romero,Rodríguez,Carrer de Mallorca,43923,Sevilla,Spain
Сергей,Екатерина,Сидоров,Кузнецов,ул. Гагарина,174607,Казань,Russia
Анна,Павел,Кузнецов,Соколов,ул. Ленина,156626,Нижний Новгород,Russia
आदित्य,नेहा,कुमार,जोशी,स्टेशन रोड,142185,बेंगलुरु,India
Κώστας,Δημήτρης,Οικονόμου,Δημητρίου,Οδός Αθηνάς,441 51,Θεσσαλονίκη,Greece
ศิริ,นภา,วัฒนกุล,สุนทร,ถนนพหลโยธิน,21542,อุดรธานี,Thailand
Maria,Beatriz,Gomes,Silva,Rua do Comércio,91609-874,Salvador,Brazil
आदित्य,पूजा,सिंह,खान,एम.जी. रोड,760626,लखनऊ,India
유나,지민,정,장,중앙로,70482,부산,South Korea
राहुल,अनन्या,सिंह,खान,लाल बहादुर शास्त्री मार्ग,678043,बेंगलुरु,India
Elizabeth,William,Nguyen,Williams,Lakeview Terrace,76550,Phoenix,United States
하준,유나,정,임,세종대로,55236,광주,South Korea
